scenario,expected_agent,selected_agent,time_ms,status
testing_async_mock,test-specialist,async-pattern-fixer,3,incorrect
performance_bottleneck,performance-optimizer,analysis-gateway,3,incorrect
docker_orchestration,infrastructure-engineer,infrastructure-engineer,3,correct
security_vulnerability,security-enforcer,analysis-gateway,3,incorrect
coverage_gaps,coverage-optimizer,analysis-gateway,2,incorrect
infrastructure_scaling,infrastructure-engineer,infrastructure-engineer,2,correct
ci_pipeline_failure,ci-specialist,ci-specialist,3,correct
integration_testing,integration-validator,test-specialist,2,incorrect
code_quality_issues,code-quality-specialist,code-quality-specialist,3,correct
environment_config,environment-analyst,analysis-gateway,2,incorrect
memory_optimization,resource-optimizer,performance-optimizer,2,incorrect
async_pattern_fixes,async-pattern-fixer,analysis-gateway,3,incorrect
fixture_architecture,fixture-design-specialist,analysis-gateway,3,incorrect
security_compliance,security-auditor,analysis-gateway,3,incorrect
dependency_conflicts,dependency-resolver,dependency-resolver,3,correct
